Name,Prefix,Date Joined,Date of Last Deposit,Date of Last Query,Reference Links Live
Aging and Disease,10.14336,"Sep 19, 2013","Mar 17, 2016",unknown,-
Agora FIlosofica,10.20399,,"Feb 19, 2016",unknown,-
Agora University of Oradea,10.15837,,"Mar 24, 2016",unknown,-
Agrar- es Kornyezetjog (Journal of Agricultural and Environmental Law),10.21029,,unknown,unknown,-
Agricultural Faculty,10.17969,,"Feb 09, 2016",unknown,-
Agricultural History Society,10.3098,"Nov 03, 2006","May 11, 2016","Dec 21, 2015",Yes
Agricultural Institute of Canada,10.4141,"Mar 03, 2009","Feb 11, 2016","Apr 27, 2016",-
Agricultural Research Communication Center,10.18805,,"Apr 29, 2016",unknown,-
Agricultural University of Iceland,10.16886,,"Jan 06, 2016",unknown,-
"Agrivita, Journal of Agricultural Science (AJAS)",10.17503,,"Apr 27, 2016",unknown,-
AI Practitioner Journal,10.12781,"Feb 25, 2013","Nov 01, 2015",unknown,-
AIBR - Asociacion de Antropologos Iberoamericanos en Red,10.11156,"Nov 28, 2012","Apr 13, 2016",unknown,-
AICIT,10.4156,"Mar 16, 2009",unknown,unknown,-
AILPcsh-Associacao Internacional de Ciencias Sociais e Humanas em Lingua Portuguesa,10.18292,,unknown,unknown,-
"Airiti Press, Inc.",10.5297,"Jul 12, 2010","Jan 27, 2015",unknown,-
AIS Educator Association,10.3194,"Mar 29, 2007","Jul 30, 2015",unknown,-
AISTI,10.17013,,"Jan 23, 2016",unknown,-
AITO - Association Internationale pour les Technologies Objets,10.5381,"Sep 15, 2010","Apr 03, 2016",unknown,-
AJIT-E Academic Journal of Information Technology,10.5824,"Sep 22, 2011","May 14, 2015",unknown,-
Akademi Doktolar Yayinevi,10.4999,"Nov 30, 2009","May 10, 2016",unknown,-
Akademia im. Jana Dlugosza w Czestochowie,10.16926,,"Mar 29, 2016",unknown,-
Akademiai Kiado Zrt.,10.1556,"Feb 01, 2004","May 10, 2016","May 03, 2016",Yes
Akademik Islam Arastirmalari Dergisi,10.20439,,unknown,unknown,-
Akademizdatcenter Nauka,10.7868,"Sep 20, 2012","May 11, 2016",unknown,-
Akdeniz Medical Journal,10.17954,,"Mar 07, 2016",unknown,-
Akshantala Enterprises,10.14260,"Aug 20, 2013","Feb 17, 2016",unknown,-
"Al Manhal FZ, LLC",10.12816,"Mar 14, 2013","May 02, 2016",unknown,-
Al-Jami'ah Research Centre,10.14421,"Oct 21, 2013","Apr 15, 2016",unknown,-
Alaska Division of Geological and Geophysical Surveys,10.14509,"Nov 19, 2013","May 05, 2016",unknown,-
Alaska Sea Grant,10.4027,"Sep 23, 2008","Apr 08, 2016",unknown,-
"Alcohol Research Documentation, Inc.",10.15288,"Mar 24, 2014","Mar 22, 2016",unknown,-
Aleksandras Stulginskis University,10.15544,"Jun 10, 2014","Apr 07, 2016",unknown,-
Aletheia - Associacao Cientifica e Cultural,10.17990,,"Apr 18, 2016",unknown,-
Alexander Graham Bell Association for the Deaf and Hard of Hearing,10.17955,,"Jul 13, 2015",unknown,-
Alexandrine Press,10.2148,"Nov 23, 2004",unknown,"Oct 05, 2015",Yes
Alexandru Ioan Cuza University,10.15551,"Jun 30, 2014",unknown,unknown,-
Alfons W. Gentner Verlag,10.17147,,"Sep 25, 2015",unknown,-
"Algorithmic Finance, LLC",10.5619,"Mar 03, 2011",unknown,unknown,-
Alkhaer Publications,10.18483,,"May 09, 2016",unknown,-
All Azimuth Journal of Foreign Policy and Peace,10.20991,,unknown,unknown,-
All-Russia Petroleum Research Exploration Institute (VNIGRI),10.17353,,"May 03, 2016",unknown,-
All-Russian National Academy of Mycology,10.14427,"Oct 23, 2013",unknown,unknown,-
Allattani Kozlemenyek,10.20331,,"Jan 15, 2016",unknown,-
Allen Press,10.1043,"Dec 01, 2000","Nov 25, 2013",unknown,-
"Allergy, Asthma, and Immunology Association of Thailand",10.12932,"Mar 25, 2013","May 07, 2016",unknown,-
Allerton Press,10.3103,"Nov 10, 2006","May 12, 2016","May 11, 2016",Yes
Alliance Against Traffic in Women Foundation,10.14197,"Nov 14, 2013",unknown,"Jan 30, 2014",-
Alliance for Children and Families,10.12679,"Feb 07, 2013",unknown,"Apr 22, 2016",-
Alliance for Children and Families,10.1606,"Feb 07, 2013","Apr 21, 2016","Apr 22, 2016",-
Alliance for Children and Families,10.12679,"Feb 07, 2013",unknown,"Apr 22, 2016",-
Alliance for Children and Families,10.1606,"Feb 07, 2013","Apr 21, 2016","Apr 22, 2016",-
Alpha Chi National Honor Society,10.21081,,unknown,unknown,-
Alphamed Press,10.1634,"Jun 16, 2004","May 09, 2016","Oct 05, 2015",Yes
Alphamed Press,10.5966,"Jun 16, 2004","May 09, 2016",unknown,Yes
Alphamed Press,10.1634,"Jun 16, 2004","May 09, 2016","Oct 05, 2015",Yes
Alphamed Press,10.5966,"Jun 16, 2004","May 09, 2016",unknown,Yes
Alphanumeric Journal,10.17093,,"Apr 22, 2016",unknown,-
ALPSP -Association of Learned and Professional Society Publishers,10.1087,"Jul 01, 2000","Sep 29, 2015","Oct 05, 2015",Yes
Altai State University,10.14258,"Aug 20, 2013","May 04, 2016",unknown,-
ALTEX Edition,10.14573,"Nov 26, 2013","May 09, 2016",unknown,-
Alzaytoonah University of Jordan,10.15849,,"Apr 30, 2015",unknown,-
Amasya Universitesi Egitim Fakultesi Dergisi,10.17539,,"Nov 24, 2015",unknown,-
"Amazonia, Organizacoes e Sustentabilidade",10.17800,,"Apr 29, 2016",unknown,-
Amazonia: Science and Health,10.18606,,"May 03, 2016",unknown,-
"Ambit Media, a.s.",10.14735,"Mar 17, 2014","May 03, 2016",unknown,-
Ambra-Verlag,10.14523,"Nov 21, 2013","Mar 14, 2016",unknown,-
AME Publishing Company,10.21037,,"May 10, 2016",unknown,-
America Latina en la Historia Economics,10.18232,,"May 02, 2016",unknown,-
American Academy of Audiology,10.3766,"Dec 18, 2007","May 04, 2016",unknown,Yes
American Academy of Cosmetic Surgery,10.5992,"Nov 07, 2011","Nov 18, 2015",unknown,-
American Academy of Implant Dentistry,10.1563,"Feb 03, 2004","May 11, 2016",unknown,Yes
American Academy of Insurance Medicine,10.17849,,"Apr 13, 2016","Apr 12, 2016",-
American Academy of Orthopaedic Surgeons,10.5435,"Feb 02, 2011","May 11, 2016",unknown,-
American Academy of Pediatrics,10.1542,"Jan 01, 2004","May 11, 2016",unknown,Yes
American Academy of Periodontology,10.1902,"Sep 01, 2004","May 10, 2016","Mar 12, 2015",Yes
American Academy of Sleep Medicine,10.5664,"Apr 04, 2011","Apr 14, 2016",unknown,-
American Academy of Sleep Medicine,10.15331,,"Apr 11, 2016",unknown,-
American Academy of Sleep Medicine,10.5664,"Apr 04, 2011","Apr 14, 2016",unknown,-
American Academy of Sleep Medicine,10.15331,,"Apr 11, 2016",unknown,-
American Accounting Association,10.2308,"Jul 20, 2005","May 11, 2016",unknown,Yes
"American Alliance for Health, Physical Education, Recreation and Dance",10.5641,"Mar 30, 2011",unknown,unknown,-
American Animal Hospital Association,10.5326,"Aug 04, 2010","May 02, 2016","Mar 10, 2015",-
American Association for Agricultural Education,10.5032,"Dec 08, 2009","Feb 06, 2016",unknown,Yes
American Association for Cancer Research,10.1158,"Jun 20, 2005","May 12, 2016","Oct 05, 2015",Yes
American Association for Clinical Chemistry,10.1373,"Apr 01, 2003","May 10, 2016",unknown,Yes
American Association for Clinical Chemistry - CCTC,10.15428,"Apr 01, 2003",unknown,unknown,-
American Association for the Advancement of Science (AAAS),10.1126,"Jul 01, 2000","May 12, 2016","Sep 14, 2015",Yes
American Association of Chemistry Teachers,10.15865,,unknown,unknown,-
American Association of Clinical Endocrinologists,10.4158,"Mar 23, 2009","May 11, 2016","Feb 04, 2016",Yes
American Association of Family and Consumer Sciences,10.14307,"Aug 30, 2013","Jan 16, 2014",unknown,-
American Association of Pharmaceutical Scientists,10.1208,"Feb 01, 2002","May 11, 2016","May 11, 2016",Yes
American Association of Physicists in Medicine,10.1118,"Jul 01, 2000","May 11, 2016","Mar 09, 2015",-
American Association of Physics Teachers,10.1119,"Jul 01, 2000","May 04, 2016","Mar 09, 2015",-
American Association of Textile Chemists and Colorists - AATCC,10.14504,"Nov 19, 2013","May 09, 2016",unknown,-
American Association on Intellectual and Developmental Disabilities,10.1352,"Feb 01, 2003","Apr 27, 2016","Apr 27, 2016",Yes
American Astronomical Society,10.3847,"Apr 07, 2008","May 11, 2016","Mar 09, 2015",Yes
American Board of Family Medicine,10.3122,"Nov 28, 2006","May 11, 2016",unknown,Yes
American Chemical Society,10.1021,"Jul 01, 2000","May 12, 2016","May 12, 2016",Yes
American Chinese Medical Exchange Society,10.7156,"Jan 23, 2012","Jun 14, 2015",unknown,-
American Cleft Palate Association,10.1597,"Mar 16, 2004","May 05, 2016","Oct 05, 2015",Yes
American College of Cardiology,10.21080,,unknown,unknown,-
American College of Chest Physicians,10.1378,"May 01, 2003","May 09, 2016","Oct 05, 2015",Yes
American College of Gastroenterology,10.14309,"Sep 09, 2013","Apr 21, 2016",unknown,-
American College of Medical Physics,10.1120,"Jul 01, 2000",unknown,"Mar 09, 2015",-
American College of Physicians,10.7326,"Mar 15, 2012","May 09, 2016",unknown,Yes
American College of Veterinary Pathologists,10.1354,"Aug 01, 2001",unknown,unknown,Yes
American Concrete Institute,10.14359,"Oct 07, 2013","May 04, 2016",unknown,-
American Dairy Science Association,10.3168,"Feb 07, 2007","May 11, 2016","Sep 14, 2015",Yes
American Dental Association,10.14219,"Jul 01, 2000","Mar 10, 2016",unknown,-
American Dental Society of Anethesiology,10.2344,"Oct 04, 2005","Feb 11, 2016",unknown,Yes
American Diabetes Association,10.2337,"Sep 07, 2005","May 12, 2016","Oct 05, 2015",Yes
American Economic Association,10.1257,"Jun 01, 2002","May 12, 2016","Mar 07, 2016",Yes
American Educational Research Association,10.3102,"Oct 18, 2006","May 12, 2016",unknown,Yes
American Epilepsy Society,10.5698,"Apr 27, 2011","Apr 05, 2016",unknown,-
American Fisheries Society,10.1577,"Feb 09, 2004",unknown,"May 12, 2016",Yes
American Geophysical Union,10.1029,"Jul 01, 2000","May 07, 2016","Mar 03, 2016",Yes
American Helicopter Society,10.4050,"Oct 29, 2008","Mar 29, 2016",unknown,-
American Industrial Hygiene Association,10.1202,"Jan 01, 2002",unknown,unknown,-
American Industrial Hygiene Association,10.3320,"Jan 01, 2002",unknown,unknown,-
American Industrial Hygiene Association,10.1202,"Jan 01, 2002",unknown,unknown,-
American Industrial Hygiene Association,10.3320,"Jan 01, 2002",unknown,unknown,-
American Innovative Medical Sciences and Technologies (AIMSCI) Inc.,10.20455,,"May 11, 2016",unknown,-
American Institute of Aeronautics and Astronautics,10.2514,"Mar 15, 2006","May 11, 2016","May 11, 2016",Yes
American Institute of Mathematical Sciences,10.3934,"Jul 07, 2008","May 12, 2016","May 10, 2016",Yes
American Institute of Physics,10.1063,"Jul 01, 2000","May 11, 2016","Oct 05, 2015",Yes
American Institute of Ultrasound in Medicine,10.7863,"Aug 22, 2012","May 10, 2016",unknown,-
American Journal of Comparative Law,10.5131,"Mar 08, 2010","Dec 30, 2015",unknown,Yes
American Journal of Health Promotion,10.4278,"Jul 23, 2009","Jan 06, 2016",unknown,Yes
American Journal of Pharmaceutical Education,10.5688,"Apr 05, 2011","Apr 29, 2016","Apr 27, 2016",-
American Journal of Science,10.2475,"Jan 03, 2006","May 03, 2016",unknown,Yes
American Library Association,10.5860,"Sep 08, 2011","May 05, 2016",unknown,-
American Marketing Association,10.1509,"Sep 01, 2003","May 11, 2016","May 04, 2016",Yes
American Mathematical Society,10.1090,"Jul 01, 2000","May 11, 2016","Dec 21, 2015",Yes
American Medical Association,10.1001,"Feb 01, 2003","May 11, 2016","Oct 31, 2015",Yes
American Medical Student Research Journal,10.15422,"May 08, 2014","May 20, 2015",unknown,-
American Mental Health Counselors Association,10.17744,,"Mar 28, 2016",unknown,-
American Meteorological Society,10.1175,"Jul 01, 2001","May 11, 2016","Mar 17, 2016",Yes
American Museum of Natural History,10.5531,"Jan 13, 2011","Apr 22, 2016",unknown,-
American Nuclear Society,10.13182,"Aug 20, 2013","May 10, 2016",unknown,-
American Oriental Society,10.7817,"Jul 31, 2012","May 11, 2016","Dec 21, 2015",-
American Osteopathic Association,10.7556,"Jul 09, 2012","Apr 25, 2016",unknown,-
American Peanut Research & Education Society,10.3146,"Jan 16, 2007","Apr 25, 2016","Feb 17, 2014",Yes
American Pharmacists Association,10.1331,"Dec 01, 2002","Feb 16, 2016",unknown,Yes
American Pharmacists Association,10.21019,"Dec 01, 2002",unknown,unknown,-
American Pharmacists Association,10.1331,"Dec 01, 2002","Feb 16, 2016",unknown,Yes
American Pharmacists Association,10.21019,"Dec 01, 2002",unknown,unknown,-
American Physical Society,10.1103,"Jul 01, 2000","May 11, 2016","Oct 05, 2015",Yes
American Physical Therapy Association,10.2522,"Apr 06, 2006","May 11, 2016",unknown,Yes
American Physiological Society,10.1152,"Dec 01, 2001","May 12, 2016","Oct 05, 2015",Yes
American Podiatric Medical Association,10.7547,"May 21, 2012","Apr 06, 2016",unknown,-
American Portuguese Studies Association,10.21471,,unknown,unknown,-
American Psychiatric Publishing,10.1176,"Aug 01, 2001","May 11, 2016","May 12, 2016",Yes
American Psychological Association,10.1037,"Jul 01, 2000","May 09, 2016","Oct 05, 2015",Yes
American Public Health Association,10.2105,"Sep 10, 2004","May 10, 2016","Apr 05, 2016",Yes
American Registry of Professional Animal Scientists,10.15232,"Mar 13, 2014","Apr 05, 2016",unknown,-
American Research Institute for Policy Development,10.15640,,"May 03, 2016",unknown,-
American Roentgen Ray Society,10.2214,"Apr 29, 2005","May 10, 2016","Apr 21, 2016",Yes
American Romanian Academy of Arts and Sciences,10.14510,"Nov 19, 2013","Sep 14, 2015","Aug 10, 2015",-
American School Counselor Association,10.5330,"Aug 09, 2010","May 06, 2016","Jul 10, 2015",-
American Science and Technology Publishers Corporation,10.15864,,"Feb 06, 2015",unknown,-
American Scientific Publishers,10.1166,"Apr 01, 2001","May 11, 2016",unknown,Yes
American Society for Aesthetics,10.4299,"Sep 01, 2009",unknown,unknown,-
American Society for Biochemistry and Molecular Biology,10.1074,"Sep 01, 2001","May 11, 2016","Oct 05, 2015",Yes
"American Society for Biochemistry and Molecular Biology, Journal of Lipid Research",10.1194,"Sep 01, 2001","May 12, 2016",unknown,Yes
American Society for Cell Biology,10.1091,"Oct 01, 2001","May 11, 2016","Oct 05, 2015",Yes
American Society for Cell Biology,10.1187,"Oct 01, 2001","May 05, 2016",unknown,Yes
American Society for Cell Biology,10.1091,"Oct 01, 2001","May 11, 2016","Oct 05, 2015",Yes
American Society for Cell Biology,10.1187,"Oct 01, 2001","May 05, 2016",unknown,Yes
American Society for Clinical Investigation,10.1172,"Jun 01, 2001","May 08, 2016","Oct 05, 2015",Yes
American Society for Clinical Pathology,10.1309,"Dec 01, 2002","Nov 17, 2015",unknown,Yes
American Society for Engineering Education,10.18260,,"Jul 08, 2015",unknown,-
American Society for Enology and Viticulture,10.5344,"Aug 09, 2010","Apr 08, 2016",unknown,-
American Society for Microbiology,10.1128,"Aug 01, 2001","May 12, 2016","Sep 14, 2015",Yes
American Society for Nutrition,10.3945,"Jul 16, 2008","May 12, 2016","Oct 05, 2015",Yes
American Society for Pharmacology & Experimental Therapeutics,10.1124,"Mar 01, 2002","May 11, 2016",unknown,Yes
American Society for Photogrammetry and Remote Sensing,10.14358,"Sep 19, 2013","Apr 08, 2016",unknown,-
American Society of Agricultural and Biological Engineers,10.13031,"May 02, 2013","Apr 26, 2016",unknown,-
American Society of Agronomy,10.2134,"Oct 14, 2004","May 06, 2016",unknown,-
American Society of Agronomy,10.3198,"Oct 14, 2004","Apr 15, 2016",unknown,-
American Society of Agronomy,10.4195,"Oct 14, 2004","Apr 08, 2016",unknown,-
American Society of Agronomy,10.2134,"Oct 14, 2004","May 06, 2016",unknown,-
American Society of Agronomy,10.3198,"Oct 14, 2004","Apr 15, 2016",unknown,-
American Society of Agronomy,10.4195,"Oct 14, 2004","Apr 08, 2016",unknown,-
American Society of Agronomy,10.2134,"Oct 14, 2004","May 06, 2016",unknown,-
American Society of Agronomy,10.3198,"Oct 14, 2004","Apr 15, 2016",unknown,-
American Society of Agronomy,10.4195,"Oct 14, 2004","Apr 08, 2016",unknown,-
American Society of Andrology,10.2164,"Jul 01, 2000","Oct 13, 2015",unknown,Yes
American Society of Animal Science,10.2527,"Apr 25, 2006","May 09, 2016",unknown,Yes
American Society of Civil Engineers,10.1061,"Jul 01, 2000","May 11, 2016","May 11, 2016",Yes
American Society of Clinical Oncology,10.1200,"Jan 01, 2002","May 12, 2016","Oct 05, 2015",Yes
American Society of Clinical Oncology (Educational Books),10.14694,"Jan 01, 2002","May 11, 2016",unknown,-
American Society of Consultant Pharmacists,10.4140,"Mar 02, 2009","May 02, 2016",unknown,-
American Society of Group Psychotherapy and Pyschodrama - ASGPP,10.12926,"Mar 25, 2013","Apr 17, 2015",unknown,-
American Society of Health System Pharmacists,10.2146,"Nov 16, 2004","May 05, 2016","Oct 05, 2015",Yes
American Society of Hematology,10.1182,"Sep 01, 2001","May 12, 2016",unknown,Yes
American Society of International Law,10.5305,"Sep 16, 2010","May 11, 2016","Jul 07, 2015",-
"American Society of Limnology and Oceanography, Inc.",10.4319,"Oct 07, 2009","Apr 21, 2016","Oct 05, 2015",-
American Society of Mining and Reclamation (ASMR),10.21000,,"Apr 18, 2016",unknown,-
American Society of Naval Engineers (ASNE),10.18670,,unknown,unknown,-
American Society of Nephrology,10.2215,"Jul 14, 2004","May 09, 2016",unknown,Yes
American Society of Nephrology,10.1681,"Jul 14, 2004","May 11, 2016","Oct 05, 2015",Yes
American Society of Nephrology,10.2215,"Jul 14, 2004","May 09, 2016",unknown,Yes
American Society of Nephrology,10.1681,"Jul 14, 2004","May 11, 2016","Oct 05, 2015",Yes
American Society of Neuroradiology,10.3174,"Feb 26, 2007","May 06, 2016",unknown,Yes
American Society of Plant Biologists,10.1104,"Sep 01, 2000","May 12, 2016","Oct 05, 2015",Yes
American Society of Plant Biologists,10.1105,"Sep 01, 2000","May 12, 2016","Oct 05, 2015",Yes
American Society of Plant Biologists,10.1104,"Sep 01, 2000","May 12, 2016","Oct 05, 2015",Yes
American Society of Plant Biologists,10.1105,"Sep 01, 2000","May 12, 2016","Oct 05, 2015",Yes
American Society of Plant Taxonomists,10.1600,"Mar 24, 2004","Mar 02, 2016",unknown,Yes
American Society of Sugarbeet Technologist,10.5274,"Jul 12, 2010","Mar 10, 2016","Oct 05, 2015",-
American Society of Tropical Medicine and Hygiene,10.4269,"Jul 09, 2009","May 09, 2016",unknown,Yes
American Speech-Language-Hearing Association,10.1044,"Dec 20, 2005","May 11, 2016",unknown,Yes
American Studies Institute,10.18078,,"Mar 16, 2016",unknown,-
American Thoracic Society,10.1164,"Apr 01, 2002","May 11, 2016","Dec 09, 2015",Yes
American Thoracic Society,10.1165,"Apr 01, 2002","May 10, 2016","Dec 09, 2015",Yes
American Thoracic Society,10.1513,"Apr 01, 2002","May 10, 2016","Dec 09, 2015",Yes
American Thoracic Society,10.1164,"Apr 01, 2002","May 11, 2016","Dec 09, 2015",Yes
